Id,Latitude,Longitude
146,9.0230265,38.8152222
147,9.0194354,38.8016985
148,9.0200077,38.8015845
149,9.022493,38.804852
150,9.0175881,38.8114614
151,9.0174003,38.8115315
152,9.0224707,38.8096549
153,9.0179155,38.8113064
154,9.0191371,38.8018776
155,9.0178217,38.8113461
156,9.0224251,38.8085917
157,9.0224381,38.8093496
158,9.0222808,38.8089362
159,9.0158465,38.8115648
160,9.0147767,38.8114291
161,9.0168047,38.8115726
162,9.0164195,38.8115749
163,9.0172794,38.8115589
164,9.0170975,38.8115726
165,9.0214046,38.8048757
166,9.0177814,38.8112884
167,9.0223521,38.8097308
168,9.0182232,38.8112326
169,9.0222471,38.8089577
170,9.0158517,38.811495
171,9.0222617,38.8090572
172,9.0200113,38.8016899
173,9.0222537,38.8098129
174,9.0179885,38.8112893
175,9.0184484,38.8113419
176,9.0182214,38.8112986
177,9.0190301,38.8114769
178,9.0187464,38.8113998
179,9.0198284,38.8116947
180,9.0195476,38.8116229
181,9.0238286,38.8062763
182,9.0223749,38.8092448
183,9.0195305,38.7987843
184,9.015505,38.800896
185,9.0156335,38.8006237
186,9.0155487,38.8006318
187,9.0179143,38.8007967
188,9.0147985,38.8015173
189,9.0157725,38.8016336
190,9.0140308,38.8006023
191,9.0142076,38.8006163
192,9.0141964,38.8010717
193,9.0160918,38.8011467
194,9.0129526,38.8117229
195,9.0200635,38.798304
196,9.0132302,38.8111676
197,9.0237117,38.8106941
198,9.0235964,38.8097411
199,9.0235372,38.8095576
200,9.0234612,38.8097329
201,9.0234312,38.8101094
202,9.0234127,38.8091269
203,9.0157646,38.8057722
204,9.0162295,38.8012044
205,9.0154096,38.8008101
206,9.0199527,38.7984666
207,9.0147831,38.8011038
208,9.0151679,38.8015766
209,9.0198298,38.7982065
210,9.0195943,38.799192
211,9.0159235,38.8054571
212,9.0233374,38.8097312
213,9.0233162,38.8105997
214,9.0231792,38.8092018
215,9.0231888,38.8097418
216,9.0231133,38.8101362
217,9.0230365,38.806195
218,9.0229972,38.8101729
219,9.0209339,38.804987
220,9.0229262,38.8092841
221,9.022934,38.8058537
222,9.0228656,38.8057412
223,9.0203838,38.8038192
224,9.0125936,38.8040864
225,9.0125433,38.80401
226,9.0223198,38.8158443
227,9.0123724,38.8043654
228,9.0123446,38.804466
229,9.0120347,38.8043104
230,9.0108082,38.8042755
231,9.0108903,38.8041951
232,9.0190982,38.8007335
233,9.0120943,38.8042152
234,9.0181381,38.8007984
235,9.0226955,38.8093672
236,9.0228264,38.8104577
237,9.0226882,38.8104263
238,9.0188786,38.8017395
239,9.0182799,38.8077021
240,9.0185858,38.8020788
241,9.0122864,38.8046256
242,9.0171215,38.8007398
243,9.0187686,38.8008329
244,9.0191198,38.8008205
245,9.017456,38.8020279
246,9.0174189,38.8019997
247,9.0173924,38.8019608
248,9.0160696,38.8006587
249,9.0154636,38.8006688
250,9.0147248,38.7979335
251,9.0147964,38.7977618
252,9.0146957,38.7980998
253,9.0146957,38.7980139
254,9.0149247,38.7974215
255,9.0154295,38.7977645
256,9.0226289,38.802524
257,9.0226427,38.8026368
258,9.0226203,38.8026913
259,9.0225594,38.8028035
260,9.0116413,38.8107276
261,9.0115618,38.8105828
262,9.0116943,38.8108081
263,9.0229485,38.801619
264,9.0138904,38.8129994
265,9.0145106,38.798727
266,9.0138109,38.8129592
267,9.0146825,38.7982178
268,9.0137871,38.8128412
269,9.0146613,38.7983063
270,9.0137261,38.8127942
271,9.011598,38.8041047
272,9.013795,38.8129055
273,9.0137712,38.8128103
274,9.0207481,38.8014789
275,9.0172155,38.8111333
276,9.0184257,38.797182
277,9.0135963,38.7994737
278,9.0135619,38.7995274
279,9.0170564,38.8115028
280,9.0200756,38.8115676
281,9.0125486,38.8127982
282,9.0131407,38.8128318
283,9.012705,38.8128559
284,9.0146917,38.8132046
285,9.0149637,38.8114761
286,9.0143977,38.8134983
287,9.0144427,38.8125756
288,9.0223015,38.7986957
289,9.0144255,38.813163
290,9.0157739,38.8154402
291,9.0228078,38.797459
292,9.022667,38.7973956
293,9.0225602,38.7985002
294,9.0223814,38.7974583
295,9.0153368,38.7984497
296,9.0154109,38.7978905
297,9.0151627,38.8031459
298,9.013695,38.7994516
299,9.0136374,38.7994516
300,9.0209929,38.8015223
301,9.0129333,38.7994412
302,9.0141344,38.7994608
303,9.0244323,38.8015943
304,9.0168261,38.8097624
305,9.0198616,38.8033505
306,9.019615,38.8011816
307,9.0168977,38.8111274
308,9.0198433,38.8045576
309,9.0196216,38.8017368
310,9.0156041,38.8098596
311,9.0199252,38.8013926
312,9.0198773,38.8030538
313,9.0164201,38.8110662
314,9.0264177,38.8170938
315,9.0195673,38.8014498
316,9.0210921,38.8016788
317,9.0196931,38.8022585
318,9.0195686,38.8010971
319,9.0223488,38.799866
320,9.0255806,38.8177805
321,9.0245736,38.8016212
322,9.0205925,38.7987234
323,9.0203273,38.8073724
324,9.0256919,38.8177255
325,9.0245634,38.8016098
326,9.0206402,38.7982513
327,9.0226654,38.7968973
328,9.0246455,38.79603
329,9.0245978,38.8016778
330,9.0205801,38.8078818
331,9.0149335,38.8093126
332,9.0161863,38.8115013
333,9.0127041,38.796188
334,9.0204626,38.7992964
335,9.0208885,38.8086837
336,9.0212331,38.8012379
337,9.0119976,38.8040529
338,9.0216033,38.8016071
339,9.0124797,38.8039416
340,9.0214918,38.8016196
341,9.0129129,38.8037994
342,9.0158589,38.8108147
343,9.0149341,38.8030015
344,9.0183541,38.8021432
345,9.0209783,38.7949194
346,9.0242689,38.8107857
347,9.0174878,38.8023973
348,9.0205356,38.7989962
349,9.024377,38.8015192
350,9.0206823,38.7978378
351,9.024439,38.8016015
352,9.0243859,38.8015283
353,9.0242362,38.8015256
354,9.0197812,38.8075448
355,9.0119373,38.8122967
356,9.0206207,38.7984921
357,9.0185705,38.8072976
358,9.0248736,38.7984683
359,9.0179955,38.8068475
360,9.0172053,38.8067176
361,9.0188735,38.8064544
362,9.0183954,38.8081952
363,9.0073775,38.8030293
364,9.0215342,38.7988967
365,9.020886,38.7964107
366,9.020814,38.7985829
367,9.0198396,38.8011432
368,9.0175672,38.8023897
369,9.0191175,38.802111
370,9.0145325,38.8101101
371,9.0197874,38.8012768
372,9.0163168,38.8025928
373,9.0177301,38.8022504
374,9.0249305,38.7982992
375,9.0176828,38.8020714
376,9.0183607,38.8084784
377,9.0194685,38.8065409
378,9.0194152,38.8086521
379,9.0192449,38.8014183
380,9.0158973,38.8092932
381,9.0152752,38.8104827
382,9.0128373,38.8039979
383,9.0186003,38.801895
384,9.0146057,38.8033394
385,9.0082928,38.8035524
386,9.0111199,38.8042862
387,9.0093568,38.8039845
388,9.0196774,38.8012379
389,9.0124888,38.8122518
390,9.0122936,38.8122754
391,9.0171137,38.8091444
392,9.0176482,38.8080499
393,9.0186132,38.8038066
394,9.0134864,38.8005754
395,9.0192078,38.8051492
396,9.0118718,38.8004132
397,9.019272,38.805639
398,9.0135321,38.7997212
399,9.0133652,38.8005654
400,9.0177952,38.8075217
401,9.0175363,38.8084237
402,9.0215197,38.8048522
403,9.0183118,38.8086869
404,9.0204357,38.8032406
405,9.0211846,38.8014498
406,9.0205726,38.8087817
407,9.0210601,38.8014418
408,9.020962,38.8014431
409,9.0213031,38.8000229
410,9.0214256,38.8000403
411,9.0181017,38.8063563
